Org,Project,URL,Published,Tags,Section,Subject,Authors,Org Type,Tools Used,Backstory,Notes
The New York Times,A Deadly Mix in Benghazi,http://www.nytimes.com/projects/2013/benghazi/,12/28/2013,"interactive presentation, video graphic",International,Benghazi,"Joe Burgess, David Furst, Xaquín G.V., Jon Huang, Josh Keller, Heather Murphy, Sergio Peçanha, Graham Roberts",national,,,
The New York Times,"A Face More Careworn, a Crowd Less Joyful",http://www.nytimes.com/interactive/2012/10/31/us/politics/damon-winter-obama-election-photos.html?hp,10/31/2012,"interactive presentation, photo gallery, slideshow",Politics - Election 2012,,"Josh Williams, Ryan Smith",national,,,
The New York Times,A Fairer World Cup Draw,http://www.nytimes.com/interactive/2014/06/03/upshot/world-cup-draw-simulation.html,6/3/2014,interactive graphic,The Upshot,,"Gregor Aisch, Kevin Quealy",national,,,
The New York Times,A Field Guide to the American Sandwich,http://www.nytimes.com/interactive/2015/04/14/dining/field-guide-to-the-sandwich.html,4/14/2015,static feature,Dining,,,national,,,
The New York Times,A Fish Merchant’s Gems,http://www.nytimes.com/interactive/2013/03/17/arts/20130317-jackie-audio-feature.html,3/15/2013,"interactive feature, audio",Arts,,Erik Piepenburg,national,,,
The New York Times,A Game of Shark And Minnow,http://www.nytimes.com/newsgraphics/2013/10/27/south-china-sea/,10/27/2013,"interactive presentation, video, interactive map",Magazine,,"Mike Bostock, Clinton Cargill, Shan Carter, Nancy Donaldson, Tom Giratikanon, Xaquín G.V., Steve Maing, Derek Watkins",national,,,
The New York Times,A Giant Picture of Snow Across the United States,http://www.nytimes.com/interactive/2015/03/05/us/one-giant-picture-of-all-the-snow-across-the-us.html,3/5/2015,interactive map,National,,"Tim Wallace, Larry Buchanan, Ford Fessenden",national,,,
The New York Times,"A Gift to New York, in Time for the Pope",http://www.nytimes.com/interactive/2015/09/17/nyregion/st-patricks-cathedral-pope-francis-visit.html,9/17/2015,interactive presentation,NY/Metro,,"Larry Buchanan, Josh Williams",national,,,
The New York Times,A Guide to ‘The Age of Rembrandt’,http://www.nytimes.com/interactive/2007/09/20/arts/20070921_REMB_GRAPHIC.html?adxnnl=1&adxnnlx=1190385223-Nbpz3Gs3W2p323FAo6Etrw,9/20/2007,,Arts,,"Vu Nguyen, Mika Gröndahl, Sylvia Rupani-Smith",national,,,
The New York Times,A Guide to New Meadowlands Stadium,http://www.nytimes.com/interactive/2010/09/10/sports/football/20100910-meadowlands.html?ref=sports&nl=multimedia&emc=focusema3,9/10/2010,,Sports,,Bedel Saget And Monica Ulmanu,national,,,
The New York Times,A Historic Shift,http://www.nytimes.com/interactive/2010/11/03/us/politics/election-results-house-shift.html?ref=politics,,,Politics,,"Shan Carter, Amanda Cox, Xaquín G.V., Kevin Quealy, Amy Schoenfeld",national,,,
The New York Times,A History of Ebola in 24 Outbreaks,http://www.nytimes.com/interactive/2014/12/30/science/history-of-ebola-in-24-outbreaks.html,12/29/2014,"interactive feature, interactive map",Science,,Jonathan Corum,national,,,
The New York Times,A History of New York in 50 Objects,http://www.nytimes.com/interactive/2012/09/02/nyregion/a-history-of-new-york-in-50-objects.html?smid=tw-share#/?gridItem=all,9/2/2012,interactive photo gallery,NY/Metro,,,national,,,
The New York Times,A History of World Records,http://www.nytimes.com/interactive/2008/08/16/sports/olympics/20080816_world_records.html,8/16/2008,,Sports - Olympics 2008,,"Gabriel Dance, Amanda Cox, Matt Ericson",national,,,
The New York Times,A Home for the Future,http://www.nytimes.com/interactive/2010/09/10/opinion/20100910_Lumen.html,9/8/2010,,Opinion,,Whitney Dangerfield,national,,,
The New York Times,"A Journey in Which I Travel North, on the World’s Most Beautiful Trip, Searching for the Ever-Elusive Midnight Sun.",http://www.nytimes.com/interactive/2014/09/19/travel/reif-larsen-norway.html,9/19/2014,"interactive presentation, map, video, diagram",Travel,,"Mike Bostock, Larry Buchanan, Jon Huang, Josh Keller, Catherine Spangler, Derek Watkins",national,D3.js,,
The New York Times,A Jungle of Humanity — and Disorder,http://www.nytimes.com/interactive/2013/05/09/world/middleeast/zaatari.html,5/9/2013,"interactive feature, photo gallery",International,,"David Furst, Jon Huang, Sergio Peçanha, Shreeya Sinha",national,,,
The New York Times,"A Look at New York City, From 1940 to Today",http://www.nytimes.com/interactive/2012/05/01/nyregion/census-market-analysis.html?ref=nyregion,6/4/2012,,NY/Metro,,"Jacky Myint, Ford Fessenden, Troy Griggs",national,,,
The New York Times,A Map of Baseball Nation,http://www.nytimes.com/interactive/2014/04/24/upshot/facebook-baseball-map.html,4/24/2014,interactive map,The Upshot,,"Tom Giratikanon, Josh Katz, David Leonhardt, Kevin Quealy",national,,,
The New York Times,A Map of Olympic Medals,http://www.nytimes.com/interactive/2008/08/04/sports/olympics/20080804_MEDALCOUNT_MAP.html,8/4/2008,,Sports - Olympics 2008,,"Lee Byron, Amanda Cox, Matthew Ericson",national,,,
The New York Times,A Map of Readers’ Photos of Hurricane Sandy,http://www.nytimes.com/interactive/2012/10/30/nyregion/hurricane-sandy-reader-photo-map.html,10/30/2012,interactive map,NY/Metro,Hurricane Sandy,Jeremy White,national,,,
The New York Times,A Map of Winter Olympic Medals,http://2010games.nytimes.com/medals/map.html,2/22/2010,,Sports - Olympics 2010,,,national,,,
The New York Times,A Meteor Streaking Through the Sky From Six Vantage Points,http://www.nytimes.com/interactive/2013/02/15/world/europe/16meteorite_videogrid.html,2/15/2013,"interactive feature, video gallery",International,,"Heather Murphy, Josh Williams",national,,,
The New York Times,A Migration of Unmarried Men,http://www.nytimes.com/interactive/2013/01/15/us/a-migration-of-unmarried-men.html,1/15/2013,"interactive graphic, map",National,,Kevin Quealy,national,,,
