Org,Project,URL,Published,Tags,Section,Subject,Authors,Org Type,Tools Used,Backstory,Notes
BBC,Crash: Death on Britain's roads,http://news.bbc.co.uk/1/hi/in_depth/uk/2009/crash/8414354.stm,2009,interactive graphic,,,,international,,,
BBC,The village and the girl,http://www.bbc.co.uk/news/resources/idt-dd0e6fd5-12fc-4a4a-a0eb-4ef064900f92,6/22/2015,"interactive presentation, video, static graphic",,,"Hannah Green, Paul Kerley, Stephen Mulvey, Nick Davey, Steven Connor",international,Shorthand,,
BBC,My Premier League Life,http://www.bbc.co.uk/sport/football/my-premier-league-life,2015,interactive graphic,,,,international,,,
BBC,London - centric,http://www.bbc.co.uk/news/resources/idt-248d9ac7-9784-4769-936a-8d3b435857a8,2015,"interactive feature, photo essay",,,"Punit Shah, Steven Connor",international,Shorthand,,
BBC,Two Billion Miles,http://twobillionmiles.com/,2015,"interactive feature, video, game, static map",,,"Mike Smith, Felix Renicks, Kieron Bryan, Harry Horton, Jon Laurence, Ed Fraser",international,,,
BBC,How many air strikes are taking place in Syria?,http://www.bbc.co.uk/programmes/p038x8xb,11/23/2015,audio graphic,,,"Neal Razzell, James Beard",international,,,
BBC,"What does it mean to be a ""Good Girl""?",http://www.bbc.co.uk/news/resources/idt-705535d7-11fc-4065-848f-9e2e5d47d1d5,2015,"interactive feature, illustration, animation",,,,international,,,
BBC,Great views. Sleeps six: What's it like to live on the International Space Station?,http://www.bbc.co.uk/news/resources/idt-c1dffc35-fe53-492d-a4bf-752a22bd1ebc,2015,"interactive feature, video, 3D, diagram",,,"Gerry Fletcher, Janet Jones, Paul Sargeant, Marcelo Zanni, George Spencer",international,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Berliner Morgenpost,Flugrouten-Radar: Diese Flüge kreuzen Ihren Kiez (These flights will cross your neighborhood),"http://flugroutenradar.morgenpost.de/#mein-standort/2013-04-12/52.411234,13.129159",2013,"interactive map, interactive graphic",,,"Julius Tröger, André Pätzold",international,,http://www.digitalerwandel.de/2013/04/23/wir-bauen-uns-eine-nachrichtenquelle-werkstattbericht-zum-flugrouten-radar/,
Berliner Morgenpost,Bundestagswahl 2013 in Berlin Alle Stimmen der 1709 Wahllokale (Bundestag election in 2013 in Berlin All votes of the 1709 Local Election),http://berlinwahlkarte2013.morgenpost.de/,2013,interactive map,,,"Julius Tröger , André Paetzold, Moritz clack",international,,,
Berliner Morgenpost,Unsichtbar: Vom Leben auf der Straße (Invisible: From life on the road),http://unsichtbar.morgenpost.de/,2014,"interactive feature, video",,,"Julius Tröger , Moritz clack , Max Boenke",international,,,
Berliner Morgenpost,So stark steigen die Mieten in Berlins Kiezen (So strong increase rents in Berlin neighborhoods),http://www.morgenpost.de/interaktiv/mieten/article136875377/So-stark-steigen-die-Mieten-in-Berlins-Kiezen.html?config=interactive,2/3/2015,interactive graphic,,,"Julius Tröger, Moritz Klack, David Wendler, Christopher Möller",international,,,
Berliner Morgenpost,Neuvermietungen: Wo Sie sich Berlin leisten können (New leases: Where you can afford Berlin),http://interaktiv.morgenpost.de/mietkarte-berlin/#2-1650,2/3/2015,interactive map,,,"Julius Tröger, Moritz clack",international,"Leaflet.js, MapBox",,
Berliner Morgenpost,Wie sich die Masern in Berlins Bezirken ausbreiten,http://www.morgenpost.de/berlin/article137810495/Wie-sich-die-Masern-in-Berlins-Bezirken-ausbreiten.html?config=interactive,2/27/2015,"interactive graphic, interactive map, timeline",,,"Julius Tröger, Christopher Möller, André Pätzold",international,,,
Berliner Morgenpost,Die Narbe der Stadt,http://mauerweg.morgenpost.de/,2014,"interactive feature, video, interactive map",,,,international,,,
Berliner Morgenpost,Ist der BER schon fertig?,http://www.istderberschonfertig.de/,3/31/2015,"interactive feature, video",,,"Julius Tröger, Christopher Möller, Diana Zinkler, David Wendler, André Pätzold, Max Boenke, Joachim Fahrun, Gudrun Mallwitz, Thomas Fülling, Moritz Klack",international,,,
Berliner Morgenpost,Condominiums: Where can you afford Berlin,http://interaktiv.morgenpost.de/wohnungspreis-karte-berlin/,4/24/2015,interactive map,,,"Julius Tröger, Moritz clack, David Wendler, Christopher Moeller",international,,,
Berliner Morgenpost,Mein Kriegsende in Berlin,http://interaktiv.morgenpost.de/mein-kriegsende-in-berlin/,5/5/2015,"interactive presentation, video, interactive map",,,"Susanne Leinemann, Jan Draeger, Felix Müller, Julius Tröger, Reto Klar, Max Boenke, David Wendler, Christopher Möller, Moritz Klack",international,,,
Berliner Morgenpost,Champions League 2015 Diese Spieler kämpfen in Berlin um den Titel,http://interaktiv.morgenpost.de/champions-league-in-berlin/,5/29/2015,interactive feature,,,"Julius Tröger, Moritz Klack, David Wendler, Michael Bee, Johannes Barkhau",international,,,
Berliner Morgenpost,Wo Europas Bevölkerung wächst – und wo sie schrumpft,http://interaktiv.morgenpost.de/europakarte/#5/48.429/11.272/de,2015,interactive map,,,,international,"OpenStreetMap, Mapbox",,
Berliner Morgenpost,Zehn von 800.000,http://interaktiv.morgenpost.de/fluechtlinge-berlin/,8/24/2015,"interactive feature, interactive map",,,"Laura Will, Martin Nejezchleba, Julius Tröger, Moritz Klack, David Wendler",international,,,
Berliner Morgenpost,Deutschland geteilt und vereint,http://interaktiv.morgenpost.de/deutschland-geteilt-vereint/,9/2/2015,"interactive feature, before/after, photo gallery",,,"Julius Tröger, Christopher Möller",international,,,
Berliner Morgenpost,520 MegapixelDas detaillierteste Foto des RAW-Geländes,http://interaktiv.morgenpost.de/raw-berlin-panorama/,8/28/2015,"interactive feature, panorama",,,,international,,,
Berliner Morgenpost,Aus welchen Ländern Flüchtlinge nach Berlin kommen,http://interaktiv.morgenpost.de/woher-berlins-fluechtlinge-kommen/,9/11/2015,interactive graphic,,,"Jens Anker, Matthias Steube, Rüdiger Finke, Julius Tröger, Christian Schlippes, Moritz Klack, David Wendler",international,,,
Berliner Morgenpost,Wo Deutschland Flüchtlinge aufnimmt,http://interaktiv.morgenpost.de/fluechtlinge-in-deutschland/,9/17/2015,"interactive graphic, table, interactive map",,,"Julius Tröger, Christopher Möller, David Wendler",international,,,
Berliner Morgenpost,Lärmkarte BerlinSo laut ist es vor Ihrer Haustür,http://interaktiv.morgenpost.de/laermkarte-berlin/,9/22/2015,interactive map,,,"Julius Tröger, Christopher Möller, Moritz Klack, Max Boenke, David Wendler",international,"OpenStreetMap, Mapbox",,
Berliner Morgenpost,400 Megapixel: Das detaillierteste Foto des Berlin-Marathons,http://interaktiv.morgenpost.de/berlin-marathon/,2015,"interactive feature, panorama",,,,international,,,
Berliner Morgenpost,Einheitsreise,http://einheitsreise.morgenpost.de/,10/1/2015,"interactive feature, interactive map, crowd source, video, panorama",,,"Uta Keseling, Max Boenke, Reto Klar, Julius Tröger, Christopher Möller, David Wendler, Moritz Klack",international,,,
Berliner Morgenpost,Berlins neue Skyline,http://interaktiv.morgenpost.de/berlins-neue-skyline/,11/5/2015,"interactive feature, interactive map, 3D, video",,,"Julius Tröger, Moritz Klack, Isabell Jürgens, Christopher Möller, André Pätzold, David Wendler ",international,OSM Buildings,http://blog.webkid.io/3d-maps-with-osmbuildings/,
Berliner Morgenpost,"Zugezogene und echte Berliner - Wer kam, wer ging, wer heute hier wohnt",http://www.morgenpost.de/berlin/25-jahre-mauerfall/interaktiv/article133254520/Gebuertige-Berliner-und-Zugezogene-Wer-kam-wer-ging-wer-heute-hier-wohnt.html?config=interactive,11/7/2014,"interactive map, interactive graphic, static graphic, table, animation, illustration",,,"Julius Tröger, André Pätzold, Moritz Klack, David Wendler, Christopher Möller, Björn Schwentker",international,,,
Berliner Morgenpost,Die Berliner ziehen nicht mehr um,http://interaktiv.morgenpost.de/umzuege-in-berlin/,11/11/2014,interactive graphic,,,"Julius Tröger, Christopher Möller, David Wendler",international,,,
Berliner Morgenpost,So lange zahlen Sie für eine Eigentumswohnung,http://interaktiv.morgenpost.de/wohnungskauf-in-deutschland/,12/10/2015,interactive map,,,"Julius Tröger, Moritz Klack, André Pätzold, David Wendler",international,,,
Berliner Morgenpost,Alle Berliner Messstationen unter EU-Jahresgrenzwert,http://www.morgenpost.de/berlin/article127420411/Wo-die-Feinstaub-Belastung-in-Berlin-am-hoechsten-ist.html?config=interactive,12/14/2015,interactive graphic,,,"Julius Tröger, Moritz Klack, André Pätzold, Christian Schlippes, Manuel Mascato",international,,,
Berliner Morgenpost,Der Himmel über Berlin – Tag für Tag,http://interaktiv.morgenpost.de/himmel-ueber-berlin/,12/16/2015,interactive graphic,,,"Lars Wienand, Interaktiv-Team",international,,,
Berliner Morgenpost,So (un)pünktlich ist Ihre Linie,http://interaktiv.morgenpost.de/verspaetungen-berlin/,12/17/2015,"interactive feature, static graphic",,,"Thomas Fülling, Julius Tröger, David Wendler, Christopher Möller",international,,,
Berliner Morgenpost,Zugezogenen-Atlas – Woher die Berliner wirklich kommen,http://interaktiv.morgenpost.de/berliner-zugezogenen-atlas/,1/21/2016,"interactive map, table, video",,,"André Pätzold, Julius Tröger, David Wendler, Moritz Klack, Christopher Möller",international,,,
Berliner Morgenpost,"Zugezogene und echte Berliner - Wer kam, wer ging, wer heute hier wohnt",http://www.morgenpost.de/berlin/25-jahre-mauerfall/interaktiv/article133254520/Gebuertige-Berliner-und-Zugezogene-Wer-kam-wer-ging-wer-heute-hier-wohnt.html?config=interactive,11/7/2014,"static map, interactive map, interactive graphic, static graphic, time series, illustration",,,"Julius Tröger, André Pätzold, Moritz Klack, David Wendler, Christopher Möller, Björn Schwentker",international,,,
Berliner Morgenpost,Hass gegen Flüchtlinge in Berlin – eine Chronologie,http://interaktiv.morgenpost.de/angriffe-unterkuenfte-berlin/,2/5/2015,"static feature, timeline",,,,international,,,
Berliner Morgenpost,Zugezogenen-Atlas – Woher die Erfurter kommen,http://interaktiv.tlz.de/erfurter-zugezogenen-atlas/,2/15/2016,"interactive map, table",,,,international,"Leaflet, Mapbox, OpenStreetMap",,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
