Org,Project,URL,Published,Tags,Section,Subject,Authors,Org Type,Tools Used,Backstory,Notes
ABC News,Japan Earthquake: before and after,http://www.abc.net.au/news/specials/japan-quake-2011/,,,,,Andrew Kesper,national,,,
ABC News,Pluto comes into focus,http://www.abc.net.au/news/2015-07-09/pluto-comes-into-focus/6566818,7/9/2015,"interactive presentation, timeline, video",,,"Ben Spraggon, Ash Kyd, Colin Gourlay",national,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Arizona Daily Star,"Liens and foreclosures, broken down by company",http://azstarnet.com/app/maps/foreclosures/,,interactive map,,,,national,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Arizona Central,Yarnell Hill Fire: Remembering the fallen firefighters,http://www.azcentral.com/news/free/20130701yarnell-hill-fire-firefighters-names.html,7/2/2013,interactive feature,,,,national,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ProPublica,Governor Sarah Palin’s VP Nomination Speech - A Visual Annotation,http://www.propublica.org/special/governor-sarah-palins-vp-nomination-speech-a-visual-annotation-1002,,,,,"Dan Nguyen, Allison Battey, Jesse Nankin, Paul Kiel, Eric Umansky, Kristin Jones",national,,,
ProPublica,Senator John McCain’s Presidential Nomination Speech - A Visual Annotation,http://www.propublica.org/special/senator-john-mccains-presidential-nomination-speech-a-visual-annotation-102,,,,,"Dan Nguyen, Allison Battey, Jesse Nankin, Paul Kiel, Eric Umansky, Kristin Jones",national,,,
ProPublica,Senator Barack Obama’s Presidential Nomination Speech - A Visual Annotation,http://www.propublica.org/special/senator-barack-obamas-nomination-speech-a-visual-annotation-1002,,,,,"Dan Nguyen, Allison Battey, Jesse Nankin, Paul Kiel, Eric Umansky, Kristin Jones",national,,,
ProPublica,Where Are the Foreclosure Deal Millions Going in Your State?,http://www.propublica.org/special/where-are-the-foreclosure-deal-millions-going,5/22/2012,interactive map,,,"Paul Kiel, Lena Groeger, Cora Currier",national,StateFace font (ProPublica),http://www.propublica.org/nerds/item/mapping-state-millions,
ProPublica,How Obama Drone Death Claims Stack Up,http://www.propublica.org/special/how-obama-drone-death-claims-stack-up,6/18/2012,interactive graphic,,,"Justin Elliott, Cora Currier, Lena Groeger",national,,,
ProPublica,Message Machine: Reverse Engineering the 2012 Campaign,http://projects.propublica.org/emails/,7/17/2012,database,,,"Jeff Larson, Al Shaw",national,,,
ProPublica,Nursing Home Inspect: Search Nursing Home Inspection Reports,http://projects.propublica.org/nursing-homes/,8/14/2012,"interactive graphic, database",,,"Charles Ornstein, Lena Groeger",national,,,
ProPublica,How Nonprofits Spend Millions on Elections and Call it Public Welfare,http://www.propublica.org/article/how-nonprofits-spend-millions-on-elections-and-call-it-public-welfare,8/19/2012,interactive presentation,,,"Kim Barker, Al Shaw",national,,,
ProPublica,How Some Nonprofit Groups Funnel Dark Money Into Campaigns,http://projects.propublica.org/dark-money/,8/19/2012,,,,"Al Shaw, Kim Barker",national,,,
ProPublica,Stacking Up the Adminstration's Drone Claims,http://projects.propublica.org/graphics/cia-drones-strikes,9/13/2012,interactive presentation,,,"Lena Groeger, Cora Currier, Scott Klein",national,,,
ProPublica,A Scorecard For This Summer’s Bank Scandals,http://www.propublica.org/special/a-scorecard-for-this-summers-bank-scandals,8/21/2012,"interactive presentation, explainer",,,"Lena Groeger, Cora Currier",national,,,
ProPublica,Free the Files: Help ProPublica Unlock Political Ad Spending,https://projects.propublica.org/free-the-files/,9/27/2012,"interactive map, interactive graphic, crowd source",,,"Al Shaw, Jeremy B. Merrill, Amanda Zamora",national,,http://www.niemanlab.org/2012/09/free-the-files-propublica-taps-the-crowd-for-a-database-building-sprint-to-election-day/,http://www.propublica.org/article/crowdsourcing-campaign-spending-what-we-learned-from-free-the-files
ProPublica,Pipeline Safety Tracker,http://projects.propublica.org/pipelines/,11/15/2012,"interactive map, interactive graphic, database",,,Lena Groeger,national,Google Maps,http://source.mozillaopennews.org/en-US/articles/making-propublicas-pipeline-safety-feature/,
ProPublica,Living Apart | How the Government Betrayed a Landmark Civil Rights Law,http://www.propublica.org/article/living-apart-how-the-government-betrayed-a-landmark-civil-rights-law,10/29/2012,"interactive map, timeline",,,"Jeff Larson, Al Shaw",national,,http://source.mozillaopennews.org/en-US/articles/anatomy-living-apart-map/,
ProPublica,Living Apart | Housing Segregation: The Great Migration and Beyond,http://projects.propublica.org/graphics/city-maps,12/20/2012,interactive map,,,"Jeff Larson, Nikole Hannah-Jones",national,,,
ProPublica,What Kind of Body Scanner Does Your Airport Have?,http://projects.propublica.org/graphics/backscatter,12/20/2012,"interactive feature, table",,,"Al Shaw, Michael Grabell",national,,,
ProPublica,Where Congress Stands on Guns,http://projects.propublica.org/guns/,1/16/2013,interactive graphic,,,Lena Groeger,national,Isotope,,
ProPublica,How Disaster Aid Recipients Voted on Sandy Relief,http://projects.propublica.org/sandyvote/,,interactive map,,,"Al Shaw, Jeff Larson",national,Google Maps,,
ProPublica,Government Lends to Rebuild in Flood Zones,http://projects.propublica.org/sandy-sba/,3/6/2013,interactive map,,,"Al Shaw, Robert Lewis, Stephen Reader",national,Google Maps,,in partnership with WNYC
ProPublica,A Reading Guide on Obama’s Latest Appointments,http://www.propublica.org/special/a-reading-guide-on-obamas-latest-appointments,3/8/2013,interactive presentation,,,Christie Thompson,national,,,
ProPublica,HeartSaver: An Experimental News Game,http://projects.propublica.org/graphics/heartsaver,4/22/2013,game,,,"Al Shaw, Sisi Wei, Amanda Zamora",national,Google Maps,http://www.propublica.org/nerds/item/heartsaver-an-experiment-in-using-news-games-to-tell-a-story,
ProPublica,Nonprofit Explorer,http://projects.propublica.org/nonprofits/,5/9/2013,database,,,"Mike Tigas, Sisi Wei",national,Ruby on Rails,,
ProPublica,Prescriber Checkup,http://projects.propublica.org/checkup/,5/10/2013,database,,,"Jeff Larson, Jennifer LaFleur, Charles Ornstein, Tracy Weber, Lena Groeger",national,Ruby on Rails,,http://www.propublica.org/article/part-d-prescriber-checkup-mainbar
ProPublica,Hazardous Hospitals,http://projects.propublica.org/graphics/slideshows/hazardous_hospitals,5/17/2013,"interactive feature, video",,,,national,,http://source.mozillaopennews.org/en-US/articles/how-we-made-hazardous-hospitals/,A collaboration with PBS Frontline and Ocupop
ProPublica,"Now, You Can’t Ban Guns at the Public Pool",http://www.propublica.org/article/now-you-cant-ban-guns-at-the-public-pool,6/3/2013,"interactive presentation, crowdsource",,,Lois Beckett,national,ReadrBoard,,
ProPublica,New Maps and a New Plan for New York,http://projects.propublica.org/nyc-flood/,6/12/2013,"interactive map, 3-D",,,"Jeff Larson, Al Shaw",national,,http://www.propublica.org/nerds/item/how-we-made-the-3-d-new-york-city-flood-map,
ProPublica,Life and Death in Assisted Living | Trailer,http://projects.propublica.org/graphics/slideshows/assisted_living,7/29/2013,video,,,,national,,,
ProPublica,Life and Death in Assisted Living | Part 1 - “The Emerald City”,http://www.propublica.org/article/emeritus-1-the-emerald-city,7/29/2013,"interactive presentation, crowd source",,,,national,,,
